model,error_type,count,total_tokens,ratio
BiLSTM,boundary_error,43,184177,0.00023347106316206693
BiLSTM,correct,182109,184177,0.9887716707297871
BiLSTM,false_positive,291,184177,0.0015800018460502669
BiLSTM,missed_entity,218,184177,0.001183643994635595
BiLSTM,wrong_type,1516,184177,0.008231212366364964
BiLSTM-CRF,boundary_error,33,184177,0.00017917546707786532
BiLSTM-CRF,correct,182428,184177,0.9905037002448731
BiLSTM-CRF,false_positive,263,184177,0.0014279741770145023
BiLSTM-CRF,missed_entity,157,184177,0.0008524408585219653
BiLSTM-CRF,wrong_type,1296,184177,0.007036709252512529
PhoBERT,boundary_error,21,184177,0.00011402075177682338
PhoBERT,correct,182984,184177,0.9935225353871547
PhoBERT,false_positive,174,184177,0.000944743371865108
PhoBERT,missed_entity,92,184177,0.0004995194839746549
PhoBERT,wrong_type,906,184177,0.0049191810052286655
XLM-RoBERTa,boundary_error,21,222525,9.437141894169195e-05
XLM-RoBERTa,correct,221293,222525,0.9944635434220874
XLM-RoBERTa,false_positive,141,222525,0.0006336366700370745
XLM-RoBERTa,missed_entity,43,222525,0.0001932367149758454
XLM-RoBERTa,wrong_type,1027,222525,0.004615211773957982
